subs.qal.ptcp.u.m.sg.c	noun, qal, participle (passive), unknown, masculine, singular, construct
subs.tif.ptca.u.m.sg.a	noun, tif‘al, participle, unknown, masculine, singular, absolute
subs.u.du.a	noun, unknown, dual, absolute
subs.u.du.c	noun, unknown, dual, construct
subs.u.sg.a	noun, unknown, singular, absolute
subs.u.sg.c	noun, unknown, singular, construct
subs.u.sg.e	noun, unknown, singular, emphatic
verb.afel.impv.p2.m.pl	verb, af‘el, imperative, second person, masculine, plural
verb.afel.impv.p2.m.sg	verb, af‘el, imperative, second person, masculine, singular
verb.afel.infc.u.u.u.c	verb, af‘el, infinitive (construct), unknown, unknown, unknown, construct
verb.afel.perf.p3.m.sg	verb, af‘el, perfect, third person, masculine, singular
verb.etpa.impf.p3.m.pl	verb, etpa“al, imperfect, third person, masculine, plural
verb.etpa.impf.p3.m.sg	verb, etpa“al, imperfect, third person, masculine, singular
verb.etpa.perf.p3.m.pl	verb, etpa“al, perfect, third person, masculine, plural
verb.etpa.perf.p3.m.sg	verb, etpa“al, perfect, third person, masculine, singular
verb.etpa.perf.p3.u.pl	verb, etpa“al, perfect, third person, unknown, plural
verb.etpe.perf.p3.f.pl	verb, etpe‘el, perfect, third person, feminine, plural
verb.etpe.perf.p3.f.sg	verb, etpe‘el, perfect, third person, feminine, singular
verb.haf.impf.p1.u.pl	verb, haf‘el, imperfect, first person, unknown, plural
verb.haf.impf.p1.u.sg	verb, haf‘el, imperfect, first person, unknown, singular
verb.haf.impf.p2.m.pl	verb, haf‘el, imperfect, second person, masculine, plural
verb.haf.impf.p2.m.sg	verb, haf‘el, imperfect, second person, masculine, singular
verb.haf.impf.p3.f.sg	verb, haf‘el, imperfect, third person, feminine, singular
verb.haf.impf.p3.m.pl	verb, haf‘el, imperfect, third person, masculine, plural
verb.haf.impf.p3.m.sg	verb, haf‘el, imperfect, third person, masculine, singular
verb.haf.impv.p2.m.pl	verb, haf‘el, imperative, second person, masculine, plural
verb.haf.impv.p2.m.sg	verb, haf‘el, imperative, second person, masculine, singular
verb.haf.infc.u.u.u.a	verb, haf‘el, infinitive (construct), unknown, unknown, unknown, absolute
verb.haf.infc.u.u.u.c	verb, haf‘el, infinitive (construct), unknown, unknown, unknown, construct
verb.haf.perf.p1.u.pl	verb, haf‘el, perfect, first person, unknown, plural
verb.haf.perf.p1.u.sg	verb, haf‘el, perfect, first person, unknown, singular
verb.haf.perf.p2.m.sg	verb, haf‘el, perfect, second person, masculine, singular
verb.haf.perf.p3.f.sg	verb, haf‘el, perfect, third person, feminine, singular
verb.haf.perf.p3.m.pl	verb, haf‘el, perfect, third person, masculine, plural
verb.haf.perf.p3.m.sg	verb, haf‘el, perfect, third person, masculine, singular
verb.haf.ptca.u.f.pl.a	verb, haf‘el, participle, unknown, feminine, plural, absolute
verb.haf.ptca.u.f.sg.a	verb, haf‘el, participle, unknown, feminine, singular, absolute
verb.haf.ptca.u.f.sg.c	verb, haf‘el, participle, unknown, feminine, singular, construct
verb.haf.ptca.u.m.pl.a	verb, haf‘el, participle, unknown, masculine, plural, absolute
verb.haf.ptca.u.m.sg.a	verb, haf‘el, participle, unknown, masculine, singular, absolute
verb.haf.ptcp.u.m.sg.a	verb, haf‘el, participle (passive), unknown, masculine, singular, absolute
verb.hif.impf.p1.u.pl	verb, hif‘il, imperfect, first person, unknown, plural
verb.hif.impf.p1.u.sg	verb, hif‘il, imperfect, first person, unknown, singular
verb.hif.impf.p2.f.sg	verb, hif‘il, imperfect, second person, feminine, singular
verb.hif.impf.p2.m.pl	verb, hif‘il, imperfect, second person, masculine, plural
verb.hif.impf.p2.m.sg	verb, hif‘il, imperfect, second person, masculine, singular
verb.hif.impf.p3.f.pl	verb, hif‘il, imperfect, third person, feminine, plural
verb.hif.impf.p3.f.sg	verb, hif‘il, imperfect, third person, feminine, singular
verb.hif.impf.p3.m.pl	verb, hif‘il, imperfect, third person, masculine, plural
verb.hif.impf.p3.m.sg	verb, hif‘il, imperfect, third person, masculine, singular
verb.hif.impv.p2.f.pl	verb, hif‘il, imperative, second person, feminine, plural
verb.hif.impv.p2.f.sg	verb, hif‘il, imperative, second person, feminine, singular
verb.hif.impv.p2.m.pl	verb, hif‘il, imperative, second person, masculine, plural
verb.hif.impv.p2.m.sg	verb, hif‘il, imperative, second person, masculine, singular
verb.hif.infa.u.u.u.a	verb, hif‘il, infinitive (absolute), unknown, unknown, unknown, absolute
verb.hif.infc.u.u.u.a	verb, hif‘il, infinitive (construct), unknown, unknown, unknown, absolute
verb.hif.infc.u.u.u.c	verb, hif‘il, infinitive (construct), unknown, unknown, unknown, construct
verb.hif.perf.p1.u.pl	verb, hif‘il, perfect, first person, unknown, plural
verb.hif.perf.p1.u.sg	verb, hif‘il, perfect, first person, unknown, singular
verb.hif.perf.p2.f.pl	verb, hif‘il, perfect, second person, feminine, plural
verb.hif.perf.p2.f.sg	verb, hif‘il, perfect, second person, feminine, singular
verb.hif.perf.p2.m.pl	verb, hif‘il, perfect, second person, masculine, plural
verb.hif.perf.p2.m.sg	verb, hif‘il, perfect, second person, masculine, singular
verb.hif.perf.p3.f.sg	verb, hif‘il, perfect, third person, feminine, singular
verb.hif.perf.p3.m.sg	verb, hif‘il, perfect, third person, masculine, singular
verb.hif.perf.p3.u.pl	verb, hif‘il, perfect, third person, unknown, plural
verb.hif.ptca.u.f.pl.a	verb, hif‘il, participle, unknown, feminine, plural, absolute
verb.hif.ptca.u.f.sg.a	verb, hif‘il, participle, unknown, feminine, singular, absolute
verb.hif.ptca.u.f.sg.c	verb, hif‘il, participle, unknown, feminine, singular, construct
verb.hif.ptca.u.m.pl.a	verb, hif‘il, participle, unknown, masculine, plural, absolute
verb.hif.ptca.u.m.pl.c	verb, hif‘il, participle, unknown, masculine, plural, construct
verb.hif.ptca.u.m.sg.a	verb, hif‘il, participle, unknown, masculine, singular, absolute
verb.hif.ptca.u.m.sg.c	verb, hif‘il, participle, unknown, masculine, singular, construct
verb.hif.wayq.p1.u.pl	verb, hif‘il, wayyiqtol, first person, unknown, plural
verb.hif.wayq.p1.u.sg	verb, hif‘il, wayyiqtol, first person, unknown, singular
verb.hif.wayq.p2.f.sg	verb, hif‘il, wayyiqtol, second person, feminine, singular
verb.hif.wayq.p2.m.pl	verb, hif‘il, wayyiqtol, second person, masculine, plural
verb.hif.wayq.p2.m.sg	verb, hif‘il, wayyiqtol, second person, masculine, singular
verb.hif.wayq.p3.f.pl	verb, hif‘il, wayyiqtol, third person, feminine, plural
verb.hif.wayq.p3.f.sg	verb, hif‘il, wayyiqtol, third person, feminine, singular
verb.hif.wayq.p3.m.pl	verb, hif‘il, wayyiqtol, third person, masculine, plural
verb.hif.wayq.p3.m.sg	verb, hif‘il, wayyiqtol, third person, masculine, singular
verb.hit.impf.p1.u.pl	verb, hitpa“el, imperfect, first person, unknown, plural
verb.hit.impf.p1.u.sg	verb, hitpa“el, imperfect, first person, unknown, singular
verb.hit.impf.p2.f.sg	verb, hitpa“el, imperfect, second person, feminine, singular
verb.hit.impf.p2.m.pl	verb, hitpa“el, imperfect, second person, masculine, plural
verb.hit.impf.p2.m.sg	verb, hitpa“el, imperfect, second person, masculine, singular
verb.hit.impf.p3.f.pl	verb, hitpa“el, imperfect, third person, feminine, plural
verb.hit.impf.p3.f.sg	verb, hitpa“el, imperfect, third person, feminine, singular
verb.hit.impf.p3.m.pl	verb, hitpa“el, imperfect, third person, masculine, plural
verb.hit.impf.p3.m.sg	verb, hitpa“el, imperfect, third person, masculine, singular
verb.hit.impv.p2.f.pl	verb, hitpa“el, imperative, second person, feminine, plural
verb.hit.impv.p2.f.sg	verb, hitpa“el, imperative, second person, feminine, singular
verb.hit.impv.p2.m.pl	verb, hitpa“el, imperative, second person, masculine, plural
verb.hit.impv.p2.m.sg	verb, hitpa“el, imperative, second person, masculine, singular
verb.hit.infa.u.u.u.a	verb, hitpa“el, infinitive (absolute), unknown, unknown, unknown, absolute
