<m>4c.subs.hit.ptca.u.m.pl.a.prs.p2.m.sg</m>	noun, hitpa“el, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.hit.ptca.u.m.sg.a.prs.p1.u.sg</m>	noun, hitpa“el, participle, unknown, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.hit.ptca.u.m.sg.a.prs.p3.m.sg</m>	noun, hitpa“el, participle, unknown, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.m.du.a.prs.p1.u.pl</m>	noun, masculine, dual, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.m.du.a.prs.p2.f.sg</m>	noun, masculine, dual, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.m.du.a.prs.p2.m.pl</m>	noun, masculine, dual, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.m.du.a.prs.p2.m.sg</m>	noun, masculine, dual, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.m.du.a.prs.p3.f.pl</m>	noun, masculine, dual, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.m.du.a.prs.p3.f.sg</m>	noun, masculine, dual, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.m.du.a.prs.p3.m.pl</m>	noun, masculine, dual, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.m.du.a.prs.p3.m.sg</m>	noun, masculine, dual, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.m.pl.a.prs.p1.u.pl</m>	noun, masculine, plural, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.m.pl.a.prs.p1.u.sg</m>	noun, masculine, plural, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.m.pl.a.prs.p2.f.pl</m>	noun, masculine, plural, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.m.pl.a.prs.p2.f.sg</m>	noun, masculine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.m.pl.a.prs.p2.m.pl</m>	noun, masculine, plural, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.m.pl.a.prs.p2.m.sg</m>	noun, masculine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.m.pl.a.prs.p3.f.pl</m>	noun, masculine, plural, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.m.pl.a.prs.p3.f.sg</m>	noun, masculine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.m.pl.a.prs.p3.m.pl</m>	noun, masculine, plural, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.m.pl.a.prs.p3.m.sg</m>	noun, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.m.sg.a.prs.p1.u.pl</m>	noun, masculine, singular, absolute, pronominal suffix, first person, unknown, plural
<m>4c.subs.m.sg.a.prs.p1.u.sg</m>	noun, masculine, singular, absolute, pronominal suffix, first person, unknown, singular
<m>4c.subs.m.sg.a.prs.p2.f.pl</m>	noun, masculine, singular, absolute, pronominal suffix, second person, feminine, plural
<m>4c.subs.m.sg.a.prs.p2.f.sg</m>	noun, masculine, singular, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.m.sg.a.prs.p2.m.pl</m>	noun, masculine, singular, absolute, pronominal suffix, second person, masculine, plural
<m>4c.subs.m.sg.a.prs.p2.m.sg</m>	noun, masculine, singular, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.m.sg.a.prs.p3.f.pl</m>	noun, masculine, singular, absolute, pronominal suffix, third person, feminine, plural
<m>4c.subs.m.sg.a.prs.p3.f.sg</m>	noun, masculine, singular, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.m.sg.a.prs.p3.m.pl</m>	noun, masculine, singular, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.m.sg.a.prs.p3.m.sg</m>	noun, masculine, singular, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.nif.ptca.u.f.pl.a.prs.p2.m.sg</m>	noun, nif‘al, participle, unknown, feminine, plural, absolute, pronominal suffix, second person, masculine, singular
<m>4c.subs.nif.ptca.u.f.pl.a.prs.p3.m.sg</m>	noun, nif‘al, participle, unknown, feminine, plural, absolute, pronominal suffix, third person, masculine, singular
<m>4c.subs.nif.ptca.u.m.pl.a.prs.p2.f.sg</m>	noun, nif‘al, participle, unknown, masculine, plural, absolute, pronominal suffix, second person, feminine, singular
<m>4c.subs.nif.ptca.u.m.pl.a.prs.p3.f.sg</m>	noun, nif‘al, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, feminine, singular
<m>4c.subs.nif.ptca.u.m.pl.a.prs.p3.m.pl</m>	noun, nif‘al, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, masculine, plural
<m>4c.subs.nif.ptca.u.m.pl.a.prs.p3.m.sg</m>	noun, nif‘al, participle, unknown, masculine, plural, absolute, pronominal suffix, third person, masculine, singular
